zfygpa;zgpa;DOB_yr;isPartTime;sex;race;cluster_tier;family_income;lsat;ugpa;weighted_lsat_ugpa;pass_bar
-0.38;-1.1;66;No;Female;Black;4;2;37;3;726.315771;Failed_or_not_attempted
1.5;0;68;No;Male;White;6;4;42;3.8;885.263136;Failed_or_not_attempted
-0.39;-0.07;69;No;Female;White;3;3;39;2.7;727.894717;Passed
2.88;2.87;66;No;Female;White;5;3;39;4;857.894717;Passed
0.14;0.53;68;No;Female;White;3;3;38;3;742.105244;Passed
1.68;1.33;59;No;Male;White;4;3;32;4;747.368406;Passed
0.34;-0.49;58;No;Male;White;3;4;39;3.5;807.894717;Passed
0;0;67;No;Male;White;6;2;41;3.1;799.473663;Passed
-1.08;-1.46;64;No;Male;Black;5;3;29;2.5;549.999987;Passed
1.02;0.76;68;No;Male;White;5;4;48;3.5;949.999974;Passed
-1.4;-1.08;68;No;Female;Other;3;3;27;2.5;518.421041;Passed
-1.04;-1.49;69;No;Male;Other;4;4;31;2.6;591.578933;Passed
1.51;1.69;68;No;Female;White;4;3;45;3.7;922.631555;Passed
-0.45;-0.04;68;No;Male;White;6;4;36;3.9;800.526298;Passed
-1.14;-0.93;67;No;Male;Other;4;4;34;2.5;628.947352;Failed_or_not_attempted
0.27;-0.98;67;No;Male;White;4;3;35;3.8;774.736825;Passed
-0.67;-0.28;68;No;Male;Other;5;3;35;3.1;704.736825;Passed
-1.5;-2.18;67;No;Male;White;6;4;36;3.9;800.526298;Passed
-1.06;-1.13;67;No;Male;White;4;3;42;3.3;835.263136;Passed
1.66;1.52;66;No;Female;White;4;3;30;3.7;685.78946;Passed
0.6;1.72;69;No;Female;White;5;3;25;3.7;606.842095;Passed
-0.37;-1.04;69;No;Female;White;5;3;31.5;3.6;699.4736695;Passed
-0.93;-1.29;64;No;Male;White;5;3;28;2.8;564.210514;Failed_or_not_attempted
0.82;0.72;68;No;Male;White;4;5;40;3.2;793.68419;Passed
0.34;0;69;No;Male;White;6;3;45;3.7;922.631555;Passed
-0.64;-0.12;68;No;Female;White;3;4;40;3.5;823.68419;Passed
0.44;0.53;69;No;Female;White;4;3;41;3.7;859.473663;Passed
0.96;0.45;69;No;Female;White;3;3;34;3.5;728.947352;Passed
0.33;0;69;No;Female;White;4;3;36;3.8;790.526298;Failed_or_not_attempted
-1.57;0;67;No;Male;White;4;4;32;3.5;697.368406;Failed_or_not_attempted
0.45;0.22;69;No;Male;White;4;4;39;3.4;797.894717;Passed
-0.45;-0.27;67;No;Female;Other;5;5;38;3;742.105244;Passed
-0.16;-0.19;66;No;Male;White;6;5;41;3.2;809.473663;Passed
0.55;0.08;64;No;Female;Other;2;4;31;3.3;661.578933;Passed
-0.03;-0.28;68;No;Female;White;6;3;42;3.6;865.263136;Passed
0.16;0.63;69;No;Female;White;3;4;34;3.2;698.947352;Passed
0;0.94;66;Yes;Female;White;4;3;36;3.8;790.526298;Passed
0;0;69;No;Male;White;3;4;37;3.5;776.315771;Failed_or_not_attempted
-0.11;-0.23;69;No;Male;White;3;3;37;3;726.315771;Passed
0.81;-0.3;67;No;Male;White;3;3;42;2.3;735.263136;Passed
0.45;0.23;69;No;Male;White;3;4;36;3.3;740.526298;Passed
1.05;0.62;69;No;Male;White;3;3;42;3;805.263136;Passed
1.34;1.41;55;Yes;Male;White;3;2;40;3.5;823.68419;Passed
0.81;1.37;67;No;Female;Black;1;2;29;2.8;579.999987;Passed
-0.39;-0.35;68;No;Male;White;3;4;36;3.3;740.526298;Passed
0.91;1.2;49;No;Male;White;3;4;36;2.9;700.526298;Passed
-0.33;-0.3;61;No;Female;White;3;4;37;2.7;696.315771;Passed
0.31;-0.01;65;No;Female;White;4;5;35;3.1;704.736825;Passed
-0.38;-0.83;65;No;Female;White;4;3;41;3.4;829.473663;Failed_or_not_attempted
0;0;54;Yes;Female;White;3;5;32;3.6;707.368406;Failed_or_not_attempted
0.1;-0.18;64;No;Male;White;3;4;42;2.9;795.263136;Passed
-0.91;-0.57;67;No;Female;White;6;4;33.5;3.4;711.0526155;Passed
-1.02;-1.33;67;No;Female;Other;4;3;32;3;647.368406;Passed
0.12;-0.13;69;No;Female;White;2;4;36;3.7;780.526298;Passed
-0.95;-0.8;67;No;Female;White;6;4;34.5;3.3;716.8420885;Passed
-1.26;-1.02;69;No;Female;White;2;4;32;3;647.368406;Passed
0.91;1.26;68;No;Male;White;2;4;35;3.3;724.736825;Passed
1.31;0.64;68;No;Female;White;4;2;34;2.9;668.947352;Passed
0.96;0;52;No;Male;White;2;3;33;3.3;693.157879;Failed_or_not_attempted
0.05;-0.68;68;No;Male;Other;1;2;27;3.1;578.421041;Passed
0.36;1.23;61;Yes;Male;White;5;3;39;3.4;797.894717;Passed
-0.44;-1.01;68;No;Male;White;5;4;40;3.5;823.68419;Passed
-1.36;0;66;No;Male;Black;1;1;19.5;2.9;439.9999935;Failed_or_not_attempted
-0.88;-1.14;69;No;Male;White;2;4;32;3.9;737.368406;Passed
-0.37;-0.19;61;Yes;Male;White;4;2;41;3;789.473663;Failed_or_not_attempted
-0.64;-1.1;58;No;Female;White;4;3;42;3.3;835.263136;Passed
0.8;1.53;56;Yes;Male;White;5;3;35;2.9;684.736825;Passed
-0.36;-0.08;70;No;Female;Black;1;2;34;2.9;668.947352;Passed
-0.98;-1.72;69;No;Female;White;4;4;38;3.2;762.105244;Passed
0.29;0.78;57;No;Female;White;4;3;39;3.3;787.894717;Failed_or_not_attempted
-0.84;-0.93;63;No;Male;White;4;3;42;3.4;845.263136;Passed
0;0;52;Yes;Female;White;4;3;36;3.5;760.526298;Failed_or_not_attempted
-1.16;0;69;Yes;Female;White;3;4;34;3;678.947352;Failed_or_not_attempted
-0.4;-0.46;69;No;Female;White;4;4;38;3.6;802.105244;Passed
-0.65;-0.59;68;No;Female;White;4;3;37;3.2;746.315771;Passed
-2.12;0;68;No;Male;White;6;4;40;3.6;833.68419;Failed_or_not_attempted
-0.42;-0.92;68;No;Male;White;5;3;43;3.5;871.052609;Failed_or_not_attempted
0.02;0.33;67;No;Male;White;6;3;41;3.8;869.473663;Passed
1.04;0.64;68;No;Female;White;3;3;32;3.1;657.368406;Passed
-1.13;-1.49;55;No;Female;White;3;4;29;2.8;579.999987;Failed_or_not_attempted
0.55;1.01;65;No;Male;White;4;4;40;3.4;813.68419;Passed
0.61;-0.27;67;No;Male;White;3;3;37;2.7;696.315771;Passed
-0.31;-0.35;70;No;Female;Other;6;3;44;3.4;876.842082;Passed
0.89;0.94;58;No;Male;White;2;4;41;3.4;829.473663;Passed
0.35;0.35;62;No;Female;White;6;4;42;3.8;885.263136;Passed
0.43;0.73;65;No;Female;White;5;3;41.5;3.2;817.3683995;Passed
-1.13;-0.94;68;No;Male;White;3;4;41;2.9;779.473663;Passed
-0.41;0.46;67;No;Male;White;5;3;40;3.8;853.68419;Passed
1.54;-0.82;62;No;Female;White;5;2;28.3;3.1;598.9473559;Passed
-0.91;-1.55;56;Yes;Male;Black;5;1;23.5;3.1;523.1578855;Failed_or_not_attempted
0.2;-1.06;68;No;Male;White;3;5;38;2.8;722.105244;Passed
-0.18;-0.39;69;No;Female;White;4;4;40;3.2;793.68419;Passed
0.26;-0.09;62;No;Male;White;4;3;25;2.6;496.842095;Passed
-0.02;-0.74;67;No;Male;White;4;2;25;2.7;506.842095;Passed
0.48;-0.04;69;No;Female;Other;1;2;28;3.5;634.210514;Failed_or_not_attempted
-0.84;-1.19;67;No;Female;White;2;4;33;3.5;713.157879;Failed_or_not_attempted
0;0;68;No;Female;Other;6;3;44;3.6;896.842082;Passed
0.09;-0.01;69;No;Female;White;4;3;36;3.5;760.526298;Passed
0.77;0.74;69;No;Female;White;3;3;48;3.4;939.999974;Passed
0.57;0;65;No;Male;White;2;2;33;2.7;633.157879;Failed_or_not_attempted
-0.03;-0.64;54;No;Male;White;3;2;34.5;3;686.8420885;Passed
0;0;61;Yes;Male;White;5;2;38;2.5;692.105244;Failed_or_not_attempted
-0.02;0.65;69;No;Male;White;3;5;41;3.2;809.473663;Passed
-1.83;0;69;No;Female;Black;5;4;25.5;2.6;504.7368315;Failed_or_not_attempted
0.01;-0.13;69;No;Female;White;3;3;34;2.8;658.947352;Passed
0.41;0.32;51;No;Female;White;1;3;24;3.2;541.052622;Passed
0;-1.78;69;No;Female;White;3;3;41;2.8;769.473663;Passed
1.27;1;68;No;Male;White;3;4;35.5;3.8;782.6315615;Passed
0.3;-0.05;64;No;Male;White;3;3;33;2;563.157879;Passed
-0.16;-0.5;67;No;Female;Black;3;3;28;2.3;514.210514;Passed
0.3;0.34;69;No;Female;White;3;2;31;3.5;681.578933;Passed
0.48;0.35;69;No;Female;White;4;3;41;3.8;869.473663;Passed
-2.43;0;67;No;Female;Other;4;2;33.5;2.5;621.0526155;Failed_or_not_attempted
0.14;-0.65;69;No;Female;White;5;5;35.5;3.1;712.6315615;Passed
-0.11;0;67;No;Male;Black;1;3;33;2.7;633.157879;Failed_or_not_attempted
-0.54;-0.33;66;No;Female;White;2;2;31;3.7;701.578933;Passed
-1.68;0;59;No;Female;Black;1;3;24;2.8;501.052622;Failed_or_not_attempted
2.06;2.27;66;No;Male;White;2;4;31;3.7;701.578933;Failed_or_not_attempted
0.51;0.09;61;No;Female;White;3;4;44;2.1;746.842082;Passed
0.45;0.44;69;No;Female;White;3;3;36;3.6;770.526298;Passed
-0.25;-0.05;69;No;Male;White;4;5;36;3.1;720.526298;Passed
-1.26;-1.42;62;No;Male;White;4;3;44;3.7;906.842082;Passed
-1.03;-1.85;67;No;Male;White;5;2;44;2.7;806.842082;Passed
0.37;-0.1;69;No;Male;White;3;4;32;3;647.368406;Passed
0.09;0.08;68;No;Male;White;4;3;42;3.5;855.263136;Passed
-0.91;-0.82;69;No;Male;White;2;3;33;2.8;643.157879;Passed
-0.19;1.07;68;No;Male;Black;1;4;31;3.1;641.578933;Passed
0.45;-0.5;64;Yes;Male;White;4;4;34;3.6;738.947352;Passed
1.34;0.64;67;No;Male;White;4;4;39;3.3;787.894717;Passed
0.27;-0.14;67;No;Female;White;4;3;33;3.7;733.157879;Passed
0.4;-0.37;66;No;Male;White;4;3;42;3.7;875.263136;Passed
0.34;0.35;67;No;Male;White;3;4;41;3;789.473663;Passed
0;0.4;69;No;Male;White;4;3;33;3.6;723.157879;Passed
-1.36;0;69;No;Female;Black;4;3;26;3.2;572.631568;Failed_or_not_attempted
-0.92;-1.86;56;Yes;Female;White;4;3;34;3.3;708.947352;Failed_or_not_attempted
-0.81;-0.36;56;Yes;Male;White;3;4;43;2.5;771.052609;Passed
0.69;0.82;69;No;Female;White;3;4;36;3.3;740.526298;Failed_or_not_attempted
1.08;0.98;69;No;Male;White;3;3;37;3.7;796.315771;Passed
1.49;1.14;67;No;Male;White;3;3;40;2.7;743.68419;Passed
0;0;62;No;Male;White;4;4;35;3.4;734.736825;Failed_or_not_attempted
0.66;0;69;No;Male;White;6;5;45;3.4;892.631555;Passed
0.76;0.94;64;No;Female;White;3;4;35;3;694.736825;Passed
1.39;1.6;65;No;Female;White;3;2;38;3.6;802.105244;Passed
0;0;64;No;Female;White;3;3;41;3;789.473663;Failed_or_not_attempted
0.39;0.24;67;No;Female;White;3;4;34;3.3;708.947352;Passed
-0.68;-0.8;66;No;Male;White;3;3;39;3.6;817.894717;Failed_or_not_attempted
0.26;0.62;68;No;Male;White;4;4;42;3.8;885.263136;Passed
-1.17;0;69;No;Female;White;4;4;43;3.5;871.052609;Failed_or_not_attempted
0.44;1.08;67;No;Female;White;4;4;47;2.5;834.210501;Passed
-1.03;-1.78;66;No;Female;Other;5;4;40;3.1;783.68419;Passed
0.02;-0.07;52;No;Female;White;4;4;34;2.8;658.947352;Passed
-0.2;-0.57;70;No;Female;White;3;4;34;3.5;728.947352;Passed
0.7;0.89;67;No;Male;White;3;4;38;3;742.105244;Passed
-0.52;-0.76;53;Yes;Male;White;3;3;33;3.1;673.157879;Passed
0.39;0.73;66;No;Male;White;3;4;37;2.9;716.315771;Passed
0.19;0.3;66;No;Female;White;3;4;37;3.6;786.315771;Passed
-0.54;-0.44;68;No;Male;White;2;3;34;3.2;698.947352;Passed
0.23;0.11;69;No;Male;Other;5;4;39;3.5;807.894717;Passed
0.8;0.64;69;No;Male;White;4;4;40;3.7;843.68419;Passed
2.18;2;70;No;Female;White;5;4;42;3.9;895.263136;Passed
-0.58;-0.69;67;No;Female;White;2;4;26;3.1;562.631568;Passed
-1.82;-1.27;67;No;Male;White;4;4;40;3;773.68419;Passed
-0.08;-0.6;69;No;Female;White;5;4;33;3.5;713.157879;Passed
-2.51;-1.5;67;No;Male;White;2;4;34;3;678.947352;Passed
0.52;0;70;No;Female;White;5;4;42;3;805.263136;Passed
0.74;0;66;No;Male;White;3;4;38;3.4;782.105244;Passed
-0.51;-0.27;68;Yes;Male;White;2;4;37;2.4;666.315771;Passed
-1.59;-0.82;69;No;Male;White;3;4;42;3.3;835.263136;Passed
0.04;0;66;No;Male;White;3;4;33;3.6;723.157879;Failed_or_not_attempted
-0.84;-1.09;68;No;Male;Other;6;3;48;3.2;919.999974;Passed
-0.4;-0.75;66;No;Male;White;1;4;25.5;2.5;494.7368315;Passed
-0.16;-0.37;69;No;Female;White;4;3;40;3.9;863.68419;Passed
0.66;1.57;62;No;Female;White;4;4;40;4;873.68419;Passed
0.85;0.37;65;No;Male;White;3;4;35.5;3.4;742.6315615;Passed
1.58;1.24;67;No;Male;White;3;2;33;3.8;743.157879;Passed
0;0;69;No;Male;White;3;4;41;3.5;839.473663;Failed_or_not_attempted
0.33;-0.01;69;No;Female;White;4;4;34;3.7;748.947352;Passed
1.01;0.41;69;No;Female;White;3;4;33;3.4;703.157879;Passed
0;0;67;No;Female;White;6;4;37.7;3.1;747.3684021;Passed
-0.15;-0.03;61;No;Female;White;4;3;44;3.5;886.842082;Passed
-1.1;-0.73;66;No;Female;White;3;3;37;2.4;666.315771;Passed
0.61;0.4;67;No;Female;White;3;4;38;3.3;772.105244;Passed
0.12;0.4;69;No;Female;White;4;4;41;3.4;829.473663;Passed
0.45;0.59;69;No;Male;White;4;4;35;3.7;764.736825;Passed
0.55;0.65;69;No;Female;White;6;4;40;3.8;853.68419;Passed
1.49;1.56;66;Yes;Male;White;3;3;40;2.7;743.68419;Passed
1.21;1.22;64;No;Male;White;4;3;37;3.6;786.315771;Passed
0.39;-0.39;66;No;Male;White;3;4;36;2.6;670.526298;Passed
1.57;1.72;65;No;Male;White;4;5;44;3.3;866.842082;Passed
0.82;1.52;65;No;Male;White;5;3;37;3.3;756.315771;Passed
-1.17;0;63;No;Female;Other;4;1;30;3;615.78946;Failed_or_not_attempted
1.02;2.04;55;Yes;Female;White;3;4;37;3.4;766.315771;Passed
-0.79;-1.75;63;No;Female;White;3;4;32.3;2.5;602.1052479;Passed
-1.73;0;67;No;Female;White;5;4;36;2.8;690.526298;Failed_or_not_attempted
-1.59;-1.42;63;No;Male;Other;4;2;29;3.3;629.999987;Passed
-0.12;0.03;65;No;Female;White;4;4;40;2.7;743.68419;Passed
-0.21;0.01;68;No;Male;White;3;4;33;3.2;683.157879;Passed
0.4;0.51;67;No;Male;White;3;3;40;3.8;853.68419;Passed
-0.24;0.1;64;No;Female;White;3;4;33;2.7;633.157879;Passed
-1.07;-0.94;67;No;Male;Other;6;2;43;3.6;881.052609;Passed
0;0;68;No;Male;White;6;4;39;3.7;827.894717;Failed_or_not_attempted
1.28;-0.85;68;Yes;Male;White;4;4;26;2.6;512.631568;Failed_or_not_attempted
0.17;0;68;No;Male;White;3;4;42;2.9;795.263136;Passed
-0.37;-0.15;63;No;Female;White;3;4;32;3.3;677.368406;Passed
0.15;0.32;69;No;Female;White;5;4;35.5;3.7;772.6315615;Passed
1.34;-0.78;54;Yes;Female;White;3;3;32;3.4;687.368406;Passed
-0.86;-1.09;65;No;Male;White;3;4;46;2.9;858.421028;Passed
0.14;0.57;67;No;Male;White;4;3;40;3;773.68419;Passed
1.34;1.42;68;No;Female;White;4;4;35;3.4;734.736825;Passed
2.72;-0.36;66;No;Male;White;6;4;46;2.2;788.421028;Passed
0.96;0.3;66;No;Male;White;4;3;38;3;742.105244;Passed
0;0;64;Yes;Male;Other;2;2;26;2.8;532.631568;Failed_or_not_attempted
-0.25;0.39;49;No;Male;White;5;3;36;3.9;800.526298;Passed
0.34;0.55;69;No;Female;White;2;4;33.5;3.1;681.0526155;Passed
-2.23;0;68;No;Male;Other;3;4;31.5;2.8;619.4736695;Failed_or_not_attempted
0;0;61;No;Female;White;3;3;39;3.5;807.894717;Passed
-0.56;-0.01;69;No;Female;White;3;3;32;3.5;697.368406;Passed
-0.67;-1.3;68;No;Male;White;3;4;31.5;3.6;699.4736695;Passed
-0.96;-0.96;66;No;Female;White;3;3;39;3.2;777.894717;Failed_or_not_attempted
0.55;0.7;69;No;Male;White;5;2;42;3.4;845.263136;Passed
0.19;0.45;69;No;Female;White;4;4;41;3.2;809.473663;Passed
-0.25;-1.04;69;No;Female;White;5;3;46;3.8;948.421028;Passed
0.22;0.18;69;No;Female;White;4;4;38;3.6;802.105244;Passed
0;0;69;No;Male;Other;5;3;42;2.8;785.263136;Passed
0.82;1.09;63;No;Female;White;3;4;42;3.2;825.263136;Passed
-1.06;-0.7;67;Yes;Male;White;4;4;35.5;3.2;722.6315615;Passed
0;0;62;No;Male;White;1;3;29;3;599.999987;Passed
-1.51;-1.76;67;No;Female;White;5;4;33.5;3.8;751.0526155;Failed_or_not_attempted
1.19;0.44;65;Yes;Male;White;3;3;34;3.3;708.947352;Passed
-0.5;-1.36;67;No;Female;Other;3;2;32;2.7;617.368406;Passed
-0.37;0.67;69;No;Male;White;3;4;32;3.1;657.368406;Passed
-1.13;-0.58;69;No;Female;White;3;4;42;3.3;835.263136;Passed
0.63;0.76;67;No;Female;White;6;2;41;4;889.473663;Passed
-0.12;-0.63;69;No;Male;White;3;4;36;2.9;700.526298;Passed
1.19;1.7;68;No;Male;White;3;3;33;3.1;673.157879;Passed
1;0.48;67;No;Male;Black;1;3;23;2.8;485.263149;Passed
0.69;0.19;69;No;Male;White;3;4;38;3.2;762.105244;Failed_or_not_attempted
-0.35;0;69;No;Male;White;4;4;38;3.1;752.105244;Failed_or_not_attempted
-0.44;-0.77;69;No;Male;Other;3;5;23;3.1;515.263149;Passed
2.15;1.84;69;No;Male;White;3;3;40;3.3;803.68419;Passed
-0.94;-1.32;69;No;Male;White;3;3;36;3;710.526298;Passed
0;0;68;No;Female;White;6;4;48;3.7;969.999974;Passed
1.04;0.97;68;No;Female;White;3;3;37;3.3;756.315771;Passed
-0.86;-1.43;67;No;Male;White;6;4;30;2.9;605.78946;Passed
-1.23;-1.72;60;Yes;Female;Black;4;1;27;2.6;528.421041;Failed_or_not_attempted
-1.42;-1.77;68;No;Female;Black;4;3;23;2.6;465.263149;Passed
0.35;0.94;64;No;Male;White;5;3;38;2.7;712.105244;Passed
2.23;2.14;68;No;Female;White;2;4;45;3.1;862.631555;Passed
-0.44;-1.36;67;No;Female;White;3;4;40;2.6;733.68419;Passed
-0.45;-0.4;69;No;Male;White;4;4;40;3.6;833.68419;Passed
0.4;0.3;69;No;Male;White;4;3;40;3.6;833.68419;Passed
1.75;1.94;67;Yes;Male;White;3;4;38;2.6;702.105244;Passed
-0.69;-0.51;67;No;Female;White;6;4;39.5;3.6;825.7894535;Passed
1.54;0;69;No;Male;White;6;4;40;3.8;853.68419;Passed
-0.83;-0.17;68;No;Female;White;5;3;33.5;3.2;691.0526155;Passed
0.08;0.02;69;No;Male;White;3;4;42;3.2;825.263136;Passed
0.54;0.74;69;No;Male;White;3;4;30;3.2;635.78946;Passed
1.21;1.07;68;No;Male;White;2;2;35;3.2;714.736825;Passed
0.86;1.05;66;No;Male;White;4;3;42;3.4;845.263136;Passed
1.5;1.22;68;No;Male;White;4;3;42;4;905.263136;Passed
1.06;0.96;68;No;Female;White;5;3;41;2.9;779.473663;Passed
0.61;1.24;64;No;Male;White;6;4;41;3.9;879.473663;Passed
-0.89;-0.97;69;No;Male;White;4;4;39;3.4;797.894717;Passed
0.86;0.78;62;No;Female;White;4;3;40;3.3;803.68419;Passed
-1.32;-1.51;69;No;Female;White;3;3;30;3.5;665.78946;Passed
-0.06;0.27;69;No;Female;White;6;4;37;3.4;766.315771;Passed
1.77;1.91;69;No;Male;Other;5;2;36;3.9;800.526298;Passed
0;0;69;No;Female;Other;3;3;26;3.3;582.631568;Failed_or_not_attempted
0;0;69;No;Male;White;6;5;47;3.7;954.210501;Passed
-0.12;-0.06;66;No;Female;White;4;3;36;3.5;760.526298;Passed
-0.47;-0.65;67;No;Male;White;3;3;33;2.9;653.157879;Passed
0.55;0.46;68;No;Female;White;3;3;38;3.5;792.105244;Passed
-1.99;-2.03;69;No;Male;Other;6;1;31;3.1;641.578933;Passed
0.69;1.01;66;No;Male;White;5;1;46;3.6;928.421028;Passed
0;0;69;No;Male;White;3;4;38;3.3;772.105244;Failed_or_not_attempted
0;0;61;No;Female;White;4;4;37;3.8;806.315771;Failed_or_not_attempted
0.2;-0.14;66;No;Male;White;4;4;37;2.9;716.315771;Passed
-0.93;0;67;Yes;Male;White;3;4;36;3.6;770.526298;Failed_or_not_attempted
-0.75;-0.78;61;No;Female;White;3;4;29;2.5;549.999987;Failed_or_not_attempted
-1.53;-1.49;69;No;Male;Black;6;2;40;3.4;813.68419;Passed
1.26;0.98;68;No;Male;White;3;4;35;3.5;744.736825;Passed
0.92;0.62;63;No;Female;White;3;5;37;2.9;716.315771;Passed
-1.12;0;68;No;Male;Other;6;2;42;3.4;845.263136;Passed
1.36;1.5;68;No;Female;White;5;3;44;3.8;916.842082;Passed
1.4;0.91;67;No;Female;White;3;3;40;3.6;833.68419;Passed
2.45;2.8;46;No;Female;White;6;2;43;3.6;881.052609;Passed
0.17;0.08;69;No;Male;White;4;4;36;3.2;730.526298;Passed
0.6;0.3;64;No;Female;Black;6;2;36;3.9;800.526298;Passed
0.64;0.45;62;No;Female;White;4;3;37;3.8;806.315771;Passed
0.59;0.75;56;No;Female;White;4;3;37;3.7;796.315771;Passed
0.61;0.47;62;No;Female;White;3;3;42;3.9;895.263136;Passed
1.26;1.57;69;No;Male;White;6;3;44;3.6;896.842082;Passed
-0.05;0.4;68;No;Female;White;4;4;40;3.7;843.68419;Passed
0.61;0.7;66;No;Female;White;2;3;31;3.5;681.578933;Passed
-0.9;-0.09;53;No;Female;White;4;3;39;3;757.894717;Passed
-0.58;0;67;No;Male;Black;1;4;21;2.9;463.684203;Failed_or_not_attempted
0.43;0.41;69;No;Female;White;4;4;41;3.8;869.473663;Passed
-0.58;0;69;No;Male;White;6;4;44;4;936.842082;Failed_or_not_attempted
-1.96;-0.76;65;No;Male;White;5;3;35;3.4;734.736825;Passed
-0.1;0;69;No;Male;White;3;4;42;3.2;825.263136;Passed
-0.94;-0.91;64;No;Male;White;3;4;38;2.2;662.105244;Passed
1.39;1.13;69;No;Male;White;4;4;39.5;2.9;755.7894535;Passed
2.23;2.18;66;No;Female;Black;1;3;28;3.1;594.210514;Passed
-0.72;-1.1;69;No;Female;White;4;4;37;3.1;736.315771;Passed
-1.01;-0.86;67;No;Female;Other;5;3;31;3.1;641.578933;Failed_or_not_attempted
-0.77;-1.55;68;No;Male;White;3;5;37;2.5;676.315771;Passed
0.5;-0.04;69;No;Male;White;6;4;47;3.8;964.210501;Passed
0.53;0.58;63;No;Male;White;3;4;36;3.3;740.526298;Passed
0.54;0.38;64;No;Male;White;5;2;42;3.8;885.263136;Passed
0.25;0.19;67;No;Female;White;6;4;45;3.6;912.631555;Passed
-0.93;-1.04;65;No;Male;White;3;3;40;2.5;723.68419;Passed
-0.58;-1.87;67;No;Male;Other;4;3;38;2.9;732.105244;Passed
-0.39;-0.18;69;No;Male;White;6;5;44;3.8;916.842082;Passed
-1.43;0;52;Yes;Female;White;4;2;43;3.2;841.052609;Failed_or_not_attempted
-1.27;-1.48;67;No;Female;White;2;3;34;3;678.947352;Passed
0;0;59;No;Male;White;2;1;30;3.3;645.78946;Failed_or_not_attempted
-1.7;0;59;No;Male;White;2;1;27;3.9;658.421041;Failed_or_not_attempted
0.79;0.88;68;No;Female;White;4;3;37;4;826.315771;Passed
-0.6;-0.37;69;No;Male;White;6;4;47;3.5;934.210501;Passed
